Date : 2024-06-28 23:33:12
Directory : d:\Unity\Unity Projects\Enter_The_Dungeon\Assets\_Main
Total : 153 files,  8650 codes, 751 comments, 1936 blanks, all 11337 lines

Languages
+----------+------------+------------+------------+------------+------------+
| language | files      | code       | comment    | blank      | total      |
| d:\Unity\Unity Projects\Enter_The_Dungeon\Assets\_Main\Scripts\UI System\Currency\CurrencyShop.cs                                                                    | C#       |         67 |          1 |         11 |         79 |
| d:\Unity\Unity Projects\Enter_The_Dungeon\Assets\_Main\Scripts\UI System\Currency\CurrencyShopTab.cs                                                                 | C#       |         29 |          0 |          4 |         33 |
| d:\Unity\Unity Projects\Enter_The_Dungeon\Assets\_Main\Scripts\UI System\Currency\CurrencySlot.cs                                                                    | C#       |         36 |          1 |          6 |         43 |
| d:\Unity\Unity Projects\Enter_The_Dungeon\Assets\_Main\Scripts\UI System\EffectPopupAnimation.cs                                                                     | C#       |        123 |         12 |         33 |        168 |
| d:\Unity\Unity Projects\Enter_The_Dungeon\Assets\_Main\Scripts\UI System\Equipment Store\SpecialOfferFrame.cs                                                        | C#       |         71 |          1 |          9 |         81 |
| d:\Unity\Unity Projects\Enter_The_Dungeon\Assets\_Main\Scripts\UI System\Equipment Store\SpecialOfferFrameLoader.cs                                                  | C#       |        110 |          1 |         16 |        127 |
| d:\Unity\Unity Projects\Enter_The_Dungeon\Assets\_Main\Scripts\UI System\Equipment Store\SpecialOfferWindow.cs                                                       | C#       |        113 |          3 |         13 |        129 |
| d:\Unity\Unity Projects\Enter_The_Dungeon\Assets\_Main\Scripts\UI System\Equipment Store\StoreContentScroller.cs                                                     | C#       |          9 |          0 |          2 |         11 |
| d:\Unity\Unity Projects\Enter_The_Dungeon\Assets\_Main\Scripts\UI System\Equipment Store\StoreItem.cs                                                                | C#       |        187 |          2 |         20 |        209 |
| d:\Unity\Unity Projects\Enter_The_Dungeon\Assets\_Main\Scripts\UI System\Equipment Store\StoreLoad.cs                                                                | C#       |          8 |          0 |          2 |         10 |
| d:\Unity\Unity Projects\Enter_The_Dungeon\Assets\_Main\Scripts\UI System\Equipment Store\StorePurchaseButton.cs                                                      | C#       |         40 |          0 |          6 |         46 |
| d:\Unity\Unity Projects\Enter_The_Dungeon\Assets\_Main\Scripts\UI System\Equipment Store\StoreTitle.cs                                                               | C#       |         74 |          1 |         13 |         88 |
| d:\Unity\Unity Projects\Enter_The_Dungeon\Assets\_Main\Scripts\UI System\Equipment Store\StoreTitleScroller.cs                                                       | C#       |          9 |          0 |          2 |         11 |
| d:\Unity\Unity Projects\Enter_The_Dungeon\Assets\_Main\Scripts\UI System\Equipment Store\StoreWindow.cs                                                              | C#       |        123 |          2 |         14 |        139 |
| d:\Unity\Unity Projects\Enter_The_Dungeon\Assets\_Main\Scripts\UI System\Inventory\CategoryTab.cs                                                                    | C#       |          6 |          0 |          2 |          8 |
| d:\Unity\Unity Projects\Enter_The_Dungeon\Assets\_Main\Scripts\UI System\Inventory\DraggableInventorySlot.cs                                                         | C#       |         68 |          0 |         10 |         78 |
| d:\Unity\Unity Projects\Enter_The_Dungeon\Assets\_Main\Scripts\UI System\Inventory\Equipments.cs                                                                     | C#       |         70 |          1 |         12 |         83 |
| d:\Unity\Unity Projects\Enter_The_Dungeon\Assets\_Main\Scripts\UI System\Inventory\Inventory.cs                                                                      | C#       |        168 |          6 |         25 |        199 |
| d:\Unity\Unity Projects\Enter_The_Dungeon\Assets\_Main\Scripts\UI System\Inventory\InventoryItemInfo.cs                                                              | C#       |        186 |          2 |         24 |        212 |
| d:\Unity\Unity Projects\Enter_The_Dungeon\Assets\_Main\Scripts\UI System\Inventory\InventorySlot.cs                                                                  | C#       |         52 |          2 |         10 |         64 |
| d:\Unity\Unity Projects\Enter_The_Dungeon\Assets\_Main\Scripts\UI System\Inventory\RecipeInventory.cs                                                                | C#       |         57 |          3 |         11 |         71 |
| d:\Unity\Unity Projects\Enter_The_Dungeon\Assets\_Main\Scripts\UI System\Stage Select\StageItem.cs                                                                   | C#       |         27 |          0 |          3 |         30 |
| d:\Unity\Unity Projects\Enter_The_Dungeon\Assets\_Main\Scripts\UI System\Stage Select\StageWindow.cs                                                                 | C#       |         12 |          2 |          5 |         19 |
| d:\Unity\Unity Projects\Enter_The_Dungeon\Assets\_Main\Scripts\Weapon System\KeepFollow.cs                                                                           | C#       |         25 |          0 |          7 |         32 |
| d:\Unity\Unity Projects\Enter_The_Dungeon\Assets\_Main\Scripts\Weapon System\WeaponType.cs                                                                           | C#       |         19 |          4 |          1 |         24 |
| d:\Unity\Unity Projects\Enter_The_Dungeon\Assets\_Main\Scripts\Weapon System\Weapon\IEnergyConsumer.cs                                                               | C#       |         36 |          0 |         10 |         46 |
| d:\Unity\Unity Projects\Enter_The_Dungeon\Assets\_Main\Scripts\Weapon System\Weapon\Indicator\AoEIndicator.cs                                                        | C#       |         90 |         14 |         22 |        126 |
| d:\Unity\Unity Projects\Enter_The_Dungeon\Assets\_Main\Scripts\Weapon System\Weapon\Indicator\ITrajectoryIndicator.cs                                                | C#       |         26 |          0 |          7 |         33 |
| d:\Unity\Unity Projects\Enter_The_Dungeon\Assets\_Main\Scripts\Weapon System\Weapon\Indicator\StraightDirectionIndicator.cs                                          | C#       |         65 |         13 |         27 |        105 |
| d:\Unity\Unity Projects\Enter_The_Dungeon\Assets\_Main\Scripts\Weapon System\Weapon\Melee Weapon\MeleeWeaponBuilder.cs                                               | C#       |         58 |         12 |         17 |         87 |
| d:\Unity\Unity Projects\Enter_The_Dungeon\Assets\_Main\Scripts\Weapon System\Weapon\Ranged Weapon\Barrel\BarrelController.cs                                         | C#       |         13 |          0 |          4 |         17 |
| d:\Unity\Unity Projects\Enter_The_Dungeon\Assets\_Main\Scripts\Weapon System\Weapon\Ranged Weapon\Barrel\SingleBarrelController.cs                                   | C#       |         25 |          0 |          2 |         27 |
| d:\Unity\Unity Projects\Enter_The_Dungeon\Assets\_Main\Scripts\Weapon System\Weapon\Ranged Weapon\RangedWeaponBuilder.cs                                             | C#       |         92 |          0 |         20 |        112 |
| d:\Unity\Unity Projects\Enter_The_Dungeon\Assets\_Main\Scripts\Weapon System\Weapon\Ranged Weapon\SingleShotWeaponBuilder.cs                                         | C#       |         42 |         12 |         21 |         75 |
| d:\Unity\Unity Projects\Enter_The_Dungeon\Assets\_Main\Scripts\Weapon System\Weapon\WeaponBuilder.cs                                                                 | C#       |         37 |          0 |          9 |         46 |
| Total                                                                                                                                                                |          |      8,650 |        751 |      1,936 |     11,337 |
+----------------------------------------------------------------------------------------------------------------------------------------------------------------------+----------+------------+------------+------------+------------+
